ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
58,Athens,Hellenic Championship,02/11/2025,ATP250,Indoor,Hard,1st Round,3,Tabilo A.,Walton A.,89,83,696,740,7,6,6,7,7,5,,,,,2,1,Completed,1.44,2.75,1.46,2.89,1.48,2.75,1.45,2.65,1.55,2.74
58,Athens,Hellenic Championship,02/11/2025,ATP250,Indoor,Hard,1st Round,3,Borges N.,Sakellaridis S.,47,277,1120,194,7,6,6,3,,,,,,,2,0,Completed,1.2,4.5,1.24,4.44,1.23,4.5,1.2,4.34,1.25,4.8
58,Athens,Hellenic Championship,02/11/2025,ATP250,Indoor,Hard,1st Round,3,Korda S.,Popyrin A.,52,53,1010,1000,4,6,6,3,6,4,,,,,2,1,Completed,1.57,2.38,1.55,2.61,1.57,2.5,1.55,2.41,1.6,2.62
58,Athens,Hellenic Championship,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Dzumhur D.,Fearnley J.,58,73,925,793,6,4,6,2,,,,,,,2,0,Completed,3.2,1.36,3.24,1.39,3.25,1.36,3.11,1.35,3.4,1.39
58,Athens,Hellenic Championship,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Spizzirri E.,Djere L.,96,82,668,746,1,6,7,6,6,2,,,,,2,1,Completed,1.44,2.75,1.51,2.73,1.52,2.75,1.46,2.65,1.53,2.84
58,Athens,Hellenic Championship,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Kecmanovic M.,Majchrzak K.,54,68,985,861,7,6,7,6,,,,,,,2,0,Completed,2,1.8,2.05,1.85,2.01,1.84,1.98,1.79,2.1,1.87
58,Athens,Hellenic Championship,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Wawrinka S.,Van De Zandschulp B.,159,80,372,756,2,6,7,6,7,5,,,,,2,1,Completed,2.63,1.5,2.72,1.5,2.7,1.55,2.57,1.49,2.82,1.54
58,Athens,Hellenic Championship,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Muller A.,Struff J.L.,43,101,1190,648,6,3,2,6,7,6,,,,,2,1,Completed,2.3,1.62,2.31,1.68,2.31,1.62,2.26,1.61,2.48,1.66
58,Athens,Hellenic Championship,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Kopriva V.,Opelka R.,92,50,677,1026,6,4,6,3,,,,,,,2,0,Completed,3.4,1.33,3.35,1.37,3.4,1.36,3.24,1.33,3.5,1.38
58,Athens,Hellenic Championship,04/11/2025,ATP250,Indoor,Hard,1st Round,3,Etcheverry T.,McDonald M.,60,110,920,559,6,7,7,6,6,3,,,,,2,1,Completed,1.8,2,1.83,2.07,1.82,2.1,1.76,2.01,1.94,2.04
58,Athens,Hellenic Championship,04/11/2025,ATP250,Indoor,Hard,1st Round,3,Hanfmann Y.,Ivanov I.,117,935,518,19,6,4,6,2,,,,,,,2,0,Completed,1.06,10,1.07,11.86,1.06,29,1.06,10.7,1.06,13
58,Athens,Hellenic Championship,04/11/2025,ATP250,Indoor,Hard,1st Round,3,Giron M.,Martinez P.,72,95,815,668,6,4,6,1,,,,,,,2,0,Completed,1.25,4,1.27,4.18,1.25,4.33,1.23,3.98,1.29,4.3
58,Athens,Hellenic Championship,04/11/2025,ATP250,Indoor,Hard,2nd Round,3,Korda S.,Dzumhur D.,52,58,1010,925,4,6,6,3,6,3,,,,,2,1,Completed,1.29,3.75,1.27,4.17,1.33,3.9,1.26,3.73,1.26,4.7
58,Athens,Hellenic Championship,04/11/2025,ATP250,Indoor,Hard,2nd Round,3,Djokovic N.,Tabilo A.,5,89,4580,696,7,6,6,1,,,,,,,2,0,Completed,1.2,4.5,1.24,4.48,1.22,5,1.21,4.3,1.26,4.6
58,Athens,Hellenic Championship,04/11/2025,ATP250,Indoor,Hard,2nd Round,3,Borges N.,Spizzirri E.,47,96,1120,668,5,7,6,3,6,4,,,,,2,1,Completed,1.62,2.3,1.66,2.34,1.67,2.3,1.63,2.23,1.72,2.34
58,Athens,Hellenic Championship,05/11/2025,ATP250,Indoor,Hard,2nd Round,3,Kecmanovic M.,Darderi L.,54,26,985,1609,4,6,6,2,6,3,,,,,2,1,Completed,1.44,2.75,1.5,2.77,1.44,2.8,1.43,2.75,1.52,2.88
58,Athens,Hellenic Championship,05/11/2025,ATP250,Indoor,Hard,2nd Round,3,Hanfmann Y.,Kopriva V.,117,92,518,677,6,2,5,7,7,5,,,,,2,1,Completed,1.36,3.2,1.43,3.03,1.44,3.2,1.38,2.97,1.47,3.1
