tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-0001,Brisbane International,Hard,,250,20241229,300,126846,,,Aleksandar Vukic,R,188,AUS,,105676,,,David Goffin,R,180,BEL,,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,68,778,52,1037
2025-0001,Brisbane International,Hard,,250,20241230,301,210506,,,Alex Michelsen,R,193,USA,,106331,,,Christopher Oconnell,R,183,AUS,,6-4 4-6 7-6,3,R32,,,,,,,,,,,,,,,,,,,,41,1245,64,795
2025-0001,Brisbane International,Hard,,250,20241230,302,126127,,,Benjamin Bonzi,R,183,FRA,,126214,,,Alejandro Tabilo,L,188,CHI,,6-7 7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,75,730,23,1943
2025-0001,Brisbane International,Hard,,250,20241230,303,106415,,,Yoshihito Nishioka,L,170,JPN,,126239,,,Arthur Rinderknech,R,196,FRA,,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,69,776,59,927
2025-0001,Brisbane International,Hard,,250,20241230,304,107270,,,James Thompson,R,,USA,,126610,,,Matteo Berrettini,R,196,ITA,,3-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,26,1745,34,1380
2025-0001,Brisbane International,Hard,,250,20241230,305,111797,,,Nicolas Jarry,R,201,CHI,,208363,,,Mariano Navone,R,178,ARG,,7-5 7-6,3,R32,,,,,,,,,,,,,,,,,,,,35,1370,47,1148
2025-0001,Brisbane International,Hard,,250,20241230,306,105777,,,Grigor Dimitrov,R,191,BUL,,105870,,,Yannick Hanfmann,R,193,GER,,7-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,10,3350,96,627
2025-0001,Brisbane International,Hard,,250,20241230,307,208103,,,Jiri Lehecka,R,185,CZE,,208029,,,Holger Rune,R,188,DEN,,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,28,1660,13,3025
2025-0001,Brisbane International,Hard,,250,20241231,308,124187,,,Reilly Opelka,R,211,USA,,144870,,,Federico Agustin Gomez,R,191,ARG,,7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,,293,176,137,442
2025-0001,Brisbane International,Hard,,250,20241231,309,208286,,,Matteo Arnaldi,R,185,ITA,,200615,,,Alexei Popyrin,R,196,AUS,,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,37,1345,24,1865
2025-0001,Brisbane International,Hard,,250,20241231,310,126207,,,Frances Tiafoe,R,188,USA,,112154,,,Allan Walton Knight,U,,AUS,,7-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,18,2585,93,636
2025-0001,Brisbane International,Hard,,250,20241231,311,210150,,,Jakub Mensik,R,193,CZE,,105062,,,Mikhail Kukushkin,R,183,KAZ,,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,48,1136,113,542
2025-0001,Brisbane International,Hard,,250,20241231,312,105583,,,Dusan Lajovic,R,183,SRB,,209070,,,Arthur Cazaux,R,183,FRA,,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,81,710,63,807
2025-0001,Brisbane International,Hard,,250,20241231,313,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,,106401,,,Nick Kyrgios,R,193,AUS,,7-6 6-7 7-6,3,R32,,,,,,,,,,,,,,,,,,,,31,1561,N/A,N/A
2025-0001,Brisbane International,Hard,,250,20241231,314,104792,,,Gael Monfils,R,193,FRA,,210460,,,Nishesh Basavareddy,R,180,USA,,6-4 4-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,,55,1005,138,440
2025-0001,Brisbane International,Hard,,250,20241231,315,104925,,,Novak Djokovic,R,188,SRB,,208014,,,Rinky Hijikata,R,178,AUS,,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,7,3910,73,746
2025-0001,Brisbane International,Hard,,250,20250101,316,208103,,,Jiri Lehecka,R,185,CZE,,106415,,,Yoshihito Nishioka,L,170,JPN,,6-2 6-7 6-4,3,R16,,,,,,,,,,,,,,,,,,,,28,1660,69,776
2025-0001,Brisbane International,Hard,,250,20250101,317,111797,,,Nicolas Jarry,R,201,CHI,,126127,,,Benjamin Bonzi,R,183,FRA,,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,,35,1370,75,730
2025-0001,Brisbane International,Hard,,250,20250101,318,105777,,,Grigor Dimitrov,R,191,BUL,,126846,,,Aleksandar Vukic,R,188,AUS,,6-2 7-6,3,R16,,,,,,,,,,,,,,,,,,,,10,3350,68,778
2025-0001,Brisbane International,Hard,,250,20250101,319,107270,,,James Thompson,R,,USA,,210506,,,Alex Michelsen,R,193,USA,,7-5 6-3,3,R16,,,,,,,,,,,,,,,,,,,,26,1745,41,1245
