 ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
2,Hong Kong,Hong Kong Tennis Open,05/01/2026,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Dzumhur D.,45,65,1120,837,6,4,6,3,,,,,,,2,0,Completed,1.44,2.75,1.47,2.88,1.49,2.8,1.44,2.69,1.51,2.88
2,Hong Kong,Hong Kong Tennis Open,05/01/2026,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Mannarino A.,70,68,765,817,6,3,6,2,,,,,,,2,0,Completed,1.8,2,1.77,2.16,1.81,2.06,1.76,2.02,1.83,2.16
2,Hong Kong,Hong Kong Tennis Open,05/01/2026,ATP250,Outdoor,Hard,1st Round,3,Wu Y.,Marozsan F.,179,53,322,975,6,4,6,2,,,,,,,2,0,Completed,2,1.8,2.23,1.72,2.2,1.84,2.08,1.72,2.32,1.74
2,Hong Kong,Hong Kong Tennis Open,06/01/2026,ATP250,Outdoor,Hard,1st Round,3,Etcheverry T.,Royer V.,57,56,895,924,6,4,7,5,,,,,,,2,0,Completed,1.8,2,1.95,1.93,1.91,2.1,1.84,1.93,2.02,1.96
2,Hong Kong,Hong Kong Tennis Open,06/01/2026,ATP250,Outdoor,Hard,1st Round,3,Sonego L.,Sakamoto R.,39,200,1240,292,6,2,7,6,,,,,,,2,0,Completed,1.44,2.75,1.51,2.74,1.5,2.75,1.46,2.63,1.52,2.84
2,Hong Kong,Hong Kong Tennis Open,06/01/2026,ATP250,Outdoor,Hard,1st Round,3,Muller A.,Kecmanovic M.,52,51,980,1000,7,5,6,4,,,,,,,2,0,Completed,2.3,1.62,2.26,1.7,2.3,1.73,2.23,1.62,2.26,1.75
2,Hong Kong,Hong Kong Tennis Open,06/01/2026,ATP250,Outdoor,Hard,1st Round,3,Wong C.,Navone M.,150,72,406,760,6,3,7,5,,,,,,,2,0,Completed,1.73,2.1,1.84,2.06,1.82,2.2,1.76,2.02,1.94,2.06
2,Hong Kong,Hong Kong Tennis Open,06/01/2026,ATP250,Outdoor,Hard,1st Round,3,Diallo G.,De Jong J.,40,71,1215,763,6,4,7,6,,,,,,,2,0,Completed,1.44,2.75,1.43,3.05,1.45,2.9,1.41,2.8,1.46,3.05
2,Hong Kong,Hong Kong Tennis Open,06/01/2026,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Tabilo A.,285,81,184,717,7,5,6,4,,,,,,,2,0,Completed,2.3,1.62,2.38,1.65,2.6,1.68,2.35,1.57,2.48,1.66
2,Hong Kong,Hong Kong Tennis Open,06/01/2026,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Struff J.L.,75,82,746,711,6,3,1,6,6,1,,,,,2,1,Completed,2.1,1.73,2.22,1.73,2.23,1.73,2.17,1.66,2.34,1.72
2,Hong Kong,Hong Kong Tennis Open,06/01/2026,ATP250,Outdoor,Hard,1st Round,3,Giron M.,Djere L.,64,95,845,652,6,2,6,0,,,,,,,2,0,Completed,1.67,2.2,1.73,2.22,1.73,2.2,1.69,2.11,1.72,2.32
2,Hong Kong,Hong Kong Tennis Open,06/01/2026,ATP250,Outdoor,Hard,1st Round,3,Shang J.,Comesana F.,406,66,115,829,6,4,6,4,,,,,,,2,0,Completed,1.5,2.63,1.55,2.61,1.6,2.63,1.5,2.53,1.55,2.78
2,Hong Kong,Hong Kong Tennis Open,07/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Musetti L.,Etcheverry T.,7,57,3990,895,6,7,6,2,6,4,,,,,2,1,Completed,1.3,3.5,,,1.32,3.5,1.3,3.4,1.33,3.85
2,Hong Kong,Hong Kong Tennis Open,07/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Borges N.,Cilic M.,45,70,1120,765,7,5,6,3,,,,,,,2,0,Completed,1.91,1.91,1.93,1.95,1.95,1.94,1.88,1.89,1.96,2.02
2,Hong Kong,Hong Kong Tennis Open,07/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Wong C.,Diallo G.,150,40,406,1215,1,6,7,5,7,5,,,,,2,1,Completed,2.75,1.44,,,2.95,1.5,2.65,1.46,2.88,1.51
2,Hong Kong,Hong Kong Tennis Open,07/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Rublev A.,Wu Y.,16,179,2510,322,3,6,6,2,6,1,,,,,2,1,Completed,1.44,2.75,1.51,2.6,1.5,2.75,1.47,2.61,1.51,2.96
2,Hong Kong,Hong Kong Tennis Open,08/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Shang J.,Sonego L.,406,39,115,1240,6,3,6,4,,,,,,,2,0,Completed,1.62,2.3,1.69,2.29,1.68,2.3,1.63,2.23,1.73,2.34
2,Hong Kong,Hong Kong Tennis Open,08/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Giron M.,Muller A.,64,52,845,980,6,4,7,6,,,,,,,2,0,Completed,1.8,2,1.8,2.11,1.84,2.01,1.79,1.99,1.84,2.16
2,Hong Kong,Hong Kong Tennis Open,08/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Mmoh M.,Khachanov K.,285,17,184,2320,7,6,7,6,,,,,,,2,0,Completed,3.4,1.33,3.32,1.37,3.4,1.35,3.25,1.33,3.55,1.38
2,Hong Kong,Hong Kong Tennis Open,08/01/2026,ATP250,Outdoor,Hard,2nd Round,3,Bublik A.,Van De Zandschulp B.,11,75,2845,746,6,3,6,3,,,,,,,2,0,Completed,1.44,2.75,1.48,2.82,1.5,2.8,1.46,2.65,1.53,2.82
2,Hong Kong,Hong Kong Tennis Open,09/01/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Musetti L.,Wong C.,7,150,3990,406,6,4,6,4,,,,,,,2,0,Completed,1.25,4,1.29,4.05,1.29,4,1.26,3.71,1.29,4.3
2,Hong Kong,Hong Kong Tennis Open,09/01/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Rublev A.,Borges N.,16,45,2510,1120,6,3,6,4,,,,,,,2,0,Completed,1.44,2.75,1.53,2.69,1.5,2.75,1.47,2.62,1.58,2.72
2,Hong Kong,Hong Kong Tennis Open,09/01/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Bublik A.,Shang J.,11,406,2845,115,6,1,7,6,,,,,,,2,0,Completed,1.53,2.5,,,1.58,2.5,1.54,2.42,1.61,2.6
2,Hong Kong,Hong Kong Tennis Open,09/01/2026,ATP250,Outdoor,Hard,Quarterfinals,3,Giron M.,Mmoh M.,64,285,845,184,6,3,1,0,,,,,,,1,0,Retired,1.57,2.38,1.62,2.46,1.62,2.4,1.57,2.35,1.63,2.54
2,Hong Kong,Hong Kong Tennis Open,10/01/2026,ATP250,Outdoor,Hard,Semifinals,3,Musetti L.,Rublev A.,7,16,3990,2510,6,7,7,5,6,4,,,,,2,1,Completed,1.8,2,,,1.91,2,1.83,1.95,2,1.98
2,Hong Kong,Hong Kong Tennis Open,10/01/2026,ATP250,Outdoor,Hard,Semifinals,3,Bublik A.,Giron M.,11,64,2845,845,3,6,6,4,6,2,,,,,2,1,Completed,1.29,3.75,,,1.3,3.75,1.28,3.6,1.31,4.1
2,Hong Kong,Hong Kong Tennis Open,11/01/2026,ATP250,Outdoor,Hard,The Final,3,Bublik A.,Musetti L.,11,7,2845,3990,7,6,6,3,,,,,,,2,0,Completed,1.8,2,1.86,2.05,1.87,2.05,1.8,1.98,1.93,2.06
