ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
59,Metz,Open de Moselle,02/11/2025,ATP250,Indoor,Hard,1st Round,3,Cazaux A.,Mannarino A.,69,71,836,817,6,3,7,6,,,,,,,2,0,Completed,1.5,2.63,1.55,2.58,1.53,2.63,1.49,2.56,1.57,2.74
59,Metz,Open de Moselle,02/11/2025,ATP250,Indoor,Hard,1st Round,3,Gaston H.,Atmane T.,98,66,653,874,6,4,6,1,,,,,,,2,0,Completed,1.57,2.38,1.7,2.24,1.6,2.38,1.57,2.35,1.59,2.54
59,Metz,Open de Moselle,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Tien L.,Blanchet U.,38,143,1344,433,6,3,6,3,,,,,,,2,0,Completed,1.22,4.33,1.26,4.31,1.22,4.5,1.21,4.21,1.26,4.7
59,Metz,Open de Moselle,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Sonego L.,Choinski J.,42,126,1190,487,4,6,6,4,6,4,,,,,2,1,Completed,1.2,4.5,1.25,4.4,1.22,4.6,1.2,4.34,1.27,4.4
59,Metz,Open de Moselle,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Tabur C.,Kovacevic A.,243,62,226,902,6,3,6,2,,,,,,,2,0,Completed,2.75,1.44,2.6,1.55,2.75,1.57,2.56,1.5,2.7,1.57
59,Metz,Open de Moselle,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Sachko V.,Mpetshi G.,222,59,256,925,7,6,6,3,,,,,,,2,0,Completed,4.33,1.22,4.39,1.25,4.33,1.24,4.06,1.22,4.7,1.27
59,Metz,Open de Moselle,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Norrie C.,Royer V.,27,56,1573,936,6,3,6,7,6,3,,,,,2,1,Completed,1.5,2.63,1.56,2.58,1.57,2.63,1.5,2.54,1.59,2.66
59,Metz,Open de Moselle,03/11/2025,ATP250,Indoor,Hard,1st Round,3,Berrettini M.,Halys Q.,63,84,895,732,6,2,6,4,,,,,,,2,0,Completed,1.25,4,1.29,3.9,1.28,4,1.26,3.78,1.31,4
59,Metz,Open de Moselle,04/11/2025,ATP250,Indoor,Hard,1st Round,3,Jacquet K.,Van Assche L.,156,172,386,333,4,6,6,3,6,4,,,,,2,1,Completed,2.38,1.57,2.5,1.59,2.43,1.58,2.38,1.56,2.52,1.63
59,Metz,Open de Moselle,04/11/2025,ATP250,Indoor,Hard,1st Round,3,Altmaier D.,Rinderknech A.,46,28,1123,1540,6,4,6,4,,,,,,,2,0,Completed,2.5,1.53,2.47,1.6,2.5,1.67,2.41,1.56,2.52,1.65
59,Metz,Open de Moselle,04/11/2025,ATP250,Indoor,Hard,1st Round,3,Blockx A.,Passaro F.,102,129,632,480,3,6,6,3,6,4,,,,,2,1,Completed,1.53,2.5,1.55,2.62,1.62,2.54,1.52,2.48,1.58,2.66
59,Metz,Open de Moselle,04/11/2025,ATP250,Indoor,Hard,1st Round,3,Vukic A.,Moutet C.,87,31,703,1483,3,6,7,6,7,6,,,,,2,1,Completed,4,1.25,3.94,1.29,4.33,1.27,3.8,1.25,4,1.32
59,Metz,Open de Moselle,04/11/2025,ATP250,Indoor,Hard,2nd Round,3,Sonego L.,Cobolli F.,42,22,1190,2025,2,6,6,3,7,5,,,,,2,1,Completed,2.1,1.73,2.12,1.79,2.14,1.73,2.1,1.71,2.2,1.81
59,Metz,Open de Moselle,04/11/2025,ATP250,Indoor,Hard,2nd Round,3,Norrie C.,Cazaux A.,27,69,1573,836,6,7,7,6,6,2,,,,,2,1,Completed,1.8,2,1.86,2.04,1.8,2.2,1.76,2.04,1.87,2.12
59,Metz,Open de Moselle,05/11/2025,ATP250,Indoor,Hard,2nd Round,3,Jacquet K.,Added D.,156,204,386,276,6,0,6,2,,,,,,,2,0,Completed,1.44,2.75,1.47,2.86,1.53,2.75,1.48,2.59,1.47,3.05
59,Metz,Open de Moselle,05/11/2025,ATP250,Indoor,Hard,2nd Round,3,Tabur C.,Blockx A.,243,102,226,632,6,7,7,6,7,6,,,,,2,1,Completed,2.75,1.44,2.77,1.5,2.88,1.45,2.73,1.44,3,1.48
59,Metz,Open de Moselle,05/11/2025,ATP250,Indoor,Hard,2nd Round,3,Tien L.,Echargui M.,38,140,1344,446,7,6,6,3,,,,,,,2,0,Completed,1.08,8,1.09,9.24,1.1,8,1.08,7.66,1.09,11
59,Metz,Open de Moselle,05/11/2025,ATP250,Indoor,Hard,2nd Round,3,Altmaier D.,Gaston H.,46,98,1123,653,4,6,6,0,0,0,,,,,1,1,Retired,2,1.8,2.13,1.79,2.05,1.83,2,1.78,2.1,1.86
59,Metz,Open de Moselle,05/11/2025,ATP250,Indoor,Hard,2nd Round,3,Sachko V.,Bublik A.,222,13,256,2870,7,5,3,6,7,5,,,,,2,1,Completed,6.5,1.11,6.25,1.15,6.5,1.13,6.16,1.12,7.2,1.15
59,Metz,Open de Moselle,05/11/2025,ATP250,Indoor,Hard,2nd Round,3,Berrettini M.,Vukic A.,63,87,895,703,7,6,6,3,,,,,,,2,0,Completed,1.25,4,1.3,3.84,1.29,4,1.26,3.79,1.3,4.2
59,Metz,Open de Moselle,06/11/2025,ATP250,Indoor,Hard,Quarterfinals,3,Norrie C.,Jacquet K.,27,156,1573,386,4,6,7,6,6,4,,,,,2,1,Completed,1.3,3.5,1.38,3.36,1.35,3.6,1.33,3.26,1.4,3.45
59,Metz,Open de Moselle,06/11/2025,ATP250,Indoor,Hard,Quarterfinals,3,Sonego L.,Altmaier D.,42,46,1190,1123,6,4,7,6,,,,,,,2,0,Completed,1.53,2.5,1.57,2.57,1.57,2.5,1.54,2.43,1.62,2.6
59,Metz,Open de Moselle,06/11/2025,ATP250,Indoor,Hard,Quarterfinals,3,Tien L.,Berrettini M.,38,63,1344,895,5,7,6,2,6,3,,,,,2,1,Completed,2.2,1.67,2.29,1.7,2.2,1.73,2.15,1.69,2.32,1.73
59,Metz,Open de Moselle,06/11/2025,ATP250,Indoor,Hard,Quarterfinals,3,Sachko V.,Tabur C.,222,243,256,226,6,4,3,6,6,4,,,,,2,1,Completed,2,1.8,2.05,1.87,2.02,2.25,1.95,1.84,2.08,1.9
59,Metz,Open de Moselle,07/11/2025,ATP250,Indoor,Hard,Semifinals,3,Norrie C.,Sonego L.,27,42,1573,1190,4,6,6,2,6,4,,,,,2,1,Completed,2,1.8,,,2.2,1.83,2.01,1.79,2.18,1.83
59,Metz,Open de Moselle,07/11/2025,ATP250,Indoor,Hard,Semifinals,3,Tien L.,Sachko V.,38,222,1344,256,6,1,6,4,,,,,,,2,0,Completed,1.17,5,1.18,5.68,1.2,5.4,1.16,5.09,1.19,5.8
59,Metz,Open de Moselle,08/11/2025,ATP250,Indoor,Hard,The Final,3,Tien L.,Norrie C.,38,27,1344,1573,6,3,3,6,7,6,,,,,2,1,Completed,1.57,2.38,,,1.58,2.45,1.57,2.39,1.69,2.42
