ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Cobolli F.,Machac T.,23,34,1975,1445,6,1,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.8,2.1,1.75,2.04,1.87,2.14
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Altmaier D.,Giron M.,50,65,1039,885,6,2,7,6,,,,,,,2,0,Completed,2.5,1.53,,,2.55,1.54,2.48,1.52,2.74,1.55
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Cazaux A.,Darderi L.,62,27,902,1624,7,6,7,6,,,,,,,2,0,Completed,1.4,3,,,1.4,3.25,1.36,3.08,1.4,3.4
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Norrie C.,Baez S.,31,43,1483,1155,6,3,6,4,,,,,,,2,0,Completed,1.2,4.5,,,1.22,4.7,1.2,4.42,1.25,4.8
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Tien L.,Borges N.,39,46,1316,1120,6,2,7,6,,,,,,,2,0,Completed,1.53,2.5,,,1.57,2.5,1.54,2.45,1.62,2.56
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Rinderknech A.,Marozsan F.,29,48,1590,1065,7,6,7,6,,,,,,,2,0,Completed,1.73,2.1,,,1.75,2.2,1.71,2.11,1.83,2.18
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Vukic A.,Atmane T.,103,69,633,874,6,4,2,6,6,4,,,,,2,1,Completed,1.8,2,,,1.91,2,1.84,1.93,1.95,2.02
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Kecmanovic M.,Kovacevic A.,53,64,1001,889,6,4,1,6,7,6,,,,,2,1,Completed,1.62,2.3,,,1.73,2.3,1.64,2.22,1.7,2.38
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Cerundolo F.,Dzumhur D.,21,63,2085,898,6,3,6,3,,,,,,,2,0,Completed,1.36,3.2,,,1.37,3.35,1.34,3.18,1.39,3.5
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Rublev A.,Fearnley J.,17,78,2470,769,6,1,6,4,,,,,,,2,0,Completed,1.57,2.38,,,1.67,2.38,1.64,2.22,1.78,2.28
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Bublik A.,Popyrin A.,16,47,2520,1090,6,4,6,3,,,,,,,2,0,Completed,1.4,3,,,1.41,3,1.4,2.91,1.46,3.1
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Bergs Z.,Michelsen A.,41,35,1274,1440,6,3,2,6,6,2,,,,,2,1,Completed,2,1.8,,,2,1.9,1.92,1.85,2.06,1.92
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Sonego L.,Korda S.,45,54,1130,970,6,2,6,3,,,,,,,2,0,Completed,2.75,1.44,,,2.75,1.5,2.64,1.47,2.8,1.54
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Muller A.,Nakashima B.,44,33,1150,1470,6,2,7,5,,,,,,,2,0,Completed,3.4,1.33,,,3.5,1.33,3.4,1.31,3.55,1.37
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Dimitrov G.,Mpetshi G.,38,56,1330,965,7,6,6,1,,,,,,,2,0,Completed,2.5,1.53,,,2.5,1.6,2.34,1.57,2.3,1.75
57,Paris,BNP Paribas Masters,27/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Khachanov K.,Quinn E.,14,71,2620,837,6,1,6,1,,,,,,,2,0,Completed,1.4,3,,,1.4,3.15,1.38,2.95,1.43,3.3
57,Paris,BNP Paribas Masters,28/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Diallo G.,Griekspoor T.,42,25,1228,1655,6,3,6,4,,,,,,,2,0,Completed,2,1.8,,,2.05,1.83,1.98,1.8,2.08,1.9
57,Paris,BNP Paribas Masters,28/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Ugo Carabelli C.,Etcheverry T.,49,58,1053,930,7,5,6,3,,,,,,,2,0,Completed,5.5,1.14,,,5.5,1.18,4.96,1.17,5.3,1.21
57,Paris,BNP Paribas Masters,28/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Vacherot V.,Lehecka J.,40,18,1283,2415,6,1,6,3,,,,,,,2,0,Completed,2.75,1.44,,,2.75,1.57,2.53,1.51,2.76,1.55
57,Paris,BNP Paribas Masters,28/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Auger-Aliassime F.,Comesana F.,10,68,3195,880,6,7,6,3,6,3,,,,,2,1,Completed,1.2,4.5,,,1.23,4.5,1.21,4.28,1.24,5
57,Paris,BNP Paribas Masters,28/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Moutet C.,Opelka R.,32,52,1473,1010,3,6,7,5,6,1,,,,,2,1,Completed,1.44,2.75,,,1.47,2.9,1.43,2.79,1.46,3.1
57,Paris,BNP Paribas Masters,28/10/2025,Masters 1000,Indoor,Hard,1st Round,3,Fonseca J.,Shapovalov D.,28,24,1615,1928,5,7,6,4,6,3,,,,,2,1,Completed,1.5,2.63,,,1.62,2.63,1.58,2.32,1.62,2.58
