ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
60,Turin,Masters Cup,09/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Carlos Alcaraz,Alex De Minaur,1,7,11050,3935,7,6,6,2,,,,,,,2,0,Completed,1.17,5,,,1.21,5,1.19,4.66,1.21,5.5
60,Turin,Masters Cup,09/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Alexander Zverev,Ben Shelton,3,5,4960,3970,6,3,7,6,,,,,,,2,0,Completed,1.53,2.5,1.56,2.62,1.58,2.6,1.54,2.46,1.57,2.72
60,Turin,Masters Cup,10/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Taylor Fritz,Lorenzo Musetti,6,9,3935,3840,6,3,6,4,,,,,,,2,0,Completed,1.4,3,1.46,2.94,1.44,3.1,1.41,2.87,1.47,3.05
60,Turin,Masters Cup,10/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Jannik Sinner,Felix Auger Aliassime,2,8,10000,3845,7,5,6,1,,,,,,,2,0,Completed,1.06,10,1.09,9.63,1.09,10,1.07,8.64,1.09,11.5
60,Turin,Masters Cup,11/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Carlos Alcaraz,Taylor Fritz,1,6,11050,3935,6,7,7,5,6,3,,,,,2,1,Completed,1.2,4.5,1.22,4.85,1.23,4.8,1.21,4.4,1.24,5.1
60,Turin,Masters Cup,11/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Lorenzo Musetti,Alex De Minaur,9,7,3840,3935,7,5,3,6,7,5,,,,,2,1,Completed,3.2,1.36,3.25,1.4,3.3,1.38,3.13,1.36,3.35,1.42
60,Turin,Masters Cup,12/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Felix Auger Aliassime,Ben Shelton,8,5,3845,3970,4,6,7,6,7,5,,,,,2,1,Completed,2.2,1.67,2.2,1.76,2.4,1.74,2.18,1.68,2.28,1.76
60,Turin,Masters Cup,12/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Jannik Sinner,Alexander Zverev,2,3,10000,4960,6,4,6,3,,,,,,,2,0,Completed,1.1,7,1.13,7.21,1.14,7.5,1.11,6.48,1.14,7.6
60,Turin,Masters Cup,13/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Alex De Minaur,Taylor Fritz,7,6,3935,3935,7,6,6,3,,,,,,,2,0,Completed,3.2,1.36,3.27,1.39,3.3,1.4,3.09,1.36,3.4,1.4
60,Turin,Masters Cup,13/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Carlos Alcaraz,Lorenzo Musetti,1,9,11050,3840,6,4,6,1,,,,,,,2,0,Completed,1.13,6,1.14,6.88,1.14,7,1.13,6.05,1.16,7
60,Turin,Masters Cup,14/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Jannik Sinner,Ben Shelton,2,5,10000,3970,6,3,7,6,,,,,,,2,0,Completed,1.05,10,1.1,8.53,1.07,11,1.06,9.41,1.08,13
60,Turin,Masters Cup,14/11/2025,Masters Cup,Indoor,Hard,Round Robin,3,Felix Auger Aliassime,Alexander Zverev,8,3,3845,4960,6,4,7,6,,,,,,,2,0,Completed,1.2,4.5,1.21,5.06,1.22,5.3,1.19,4.8,1.22,5.3
60,Turin,Masters Cup,15/11/2025,Masters Cup,Indoor,Hard,Semifinals,3,Jannik Sinner,Alex De Minaur,2,7,10000,3935,7,5,6,2,,,,,,,2,0,Completed,1.05,10,1.1,8.53,1.07,11,1.06,9.44,1.08,13
60,Turin,Masters Cup,15/11/2025,Masters Cup,Indoor,Hard,Semifinals,3,Carlos Alcaraz,Felix Auger Aliassime,1,8,11050,3845,6,2,6,4,,,,,,,2,0,Completed,1.2,4.5,1.21,5.06,1.22,5.3,1.19,4.75,1.22,5.3
60,Turin,Masters Cup,16/11/2025,Masters Cup,Indoor,Hard,The Final,3,Jannik Sinner,Carlos Alcaraz,2,1,10000,11050,7,6,7,5,,,,,,,2,0,Completed,1.5,2.63,1.5,2.8,1.56,2.8,1.49,2.61,1.52,2.88
