WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
7,Cluj-Napoca,Transylvania Open,01/02/2026,WTA250,Indoor,Hard,1st Round,3,Yuan Y.,Ruzic A.,130,67,582,933,6,4,5,7,6,2,2,1,Completed,2.2,1.67,,,2.3,1.73,2.13,1.68,2.28,1.76
7,Cluj-Napoca,Transylvania Open,01/02/2026,WTA250,Indoor,Hard,1st Round,3,Sorribes Tormo S.,Tomova V.,478,143,113,518,6,2,7,5,,,2,0,Completed,2.63,1.5,,,3.1,1.53,2.56,1.49,2.74,1.55
7,Cluj-Napoca,Transylvania Open,01/02/2026,WTA250,Indoor,Hard,1st Round,3,Bondar A.,Seidel E.,64,83,973,837,4,6,7,6,6,0,2,1,Completed,1.73,2.1,,,1.83,2.1,1.79,1.98,1.93,2.04
7,Cluj-Napoca,Transylvania Open,01/02/2026,WTA250,Indoor,Hard,1st Round,3,Oliynykova O.,Sherif M.,91,106,805,720,6,7,6,4,6,4,2,1,Completed,1.53,2.5,,,1.57,2.5,1.54,2.42,1.62,2.58
7,Cluj-Napoca,Transylvania Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Juvan K.,Bertea E.R.,97,295,778,215,6,3,6,4,,,2,0,Completed,1.2,4.5,,,1.2,5.25,1.17,4.69,1.2,5.7
7,Cluj-Napoca,Transylvania Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Zakharova A.,Pliskova Ka.,107,416,719,146,4,6,6,2,6,2,2,1,Completed,2.63,1.5,,,2.88,1.55,2.63,1.46,2.86,1.52
7,Cluj-Napoca,Transylvania Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Zidansek T.,Erjavec V.,153,103,467,735,6,1,6,4,,,2,0,Completed,1.53,2.5,,,1.6,2.54,1.54,2.4,1.6,2.6
7,Cluj-Napoca,Transylvania Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Danilovic O.,Bulgaru M.,88,206,811,346,6,4,6,3,,,2,0,Completed,1.08,8,,,1.08,8.5,1.07,7.63,1.08,12
7,Cluj-Napoca,Transylvania Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Chwalinska M.,Bogdan A.,146,538,493,97,6,3,6,2,,,2,0,Completed,1.14,5.5,,,1.2,5.5,1.17,4.87,1.21,5.6
7,Cluj-Napoca,Transylvania Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Raducanu E.,Minnen G.,30,125,1547,599,6,0,6,4,,,2,0,Completed,1.3,3.5,,,1.33,3.55,1.31,3.37,1.36,3.7
