WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
8,Ostrava,Ostrava Open,01/02/2026,WTA250,Indoor,Hard,1st Round,3,Avanesyan E.,Uchijima M.,169,87,421,822,6,3,2,6,6,3,2,1,Completed,2.75,1.44,,,2.75,1.6,2.51,1.51,2.6,1.6
8,Ostrava,Ostrava Open,01/02/2026,WTA250,Indoor,Hard,1st Round,3,Volynets K.,Klimovicova L.,96,131,783,569,6,2,6,1,,,2,0,Completed,2,1.8,,,2.02,1.85,1.98,1.8,2.06,1.92
8,Ostrava,Ostrava Open,01/02/2026,WTA250,Indoor,Hard,1st Round,3,Martincova T.,Galfi D.,459,90,120,806,2,6,6,3,7,5,2,1,Completed,3,1.4,,,3,1.45,2.83,1.41,2.86,1.51
8,Ostrava,Ostrava Open,01/02/2026,WTA250,Indoor,Hard,1st Round,3,Udvardy P.,Vidmanova D.,98,137,771,536,7,5,6,3,,,2,0,Completed,3.2,1.36,,,3.3,1.4,3.13,1.35,3.4,1.39
8,Ostrava,Ostrava Open,01/02/2026,WTA250,Indoor,Hard,1st Round,3,McNally C.,Lamens S.,71,105,896,720,6,3,7,5,,,2,0,Completed,1.29,3.75,,,1.32,3.75,1.3,3.5,1.35,3.7
8,Ostrava,Ostrava Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Parry D.,Dodin O.,119,686,627,59,6,1,6,4,,,2,0,Completed,1.8,2,,,1.91,2.3,1.8,2,1.96,2
8,Ostrava,Ostrava Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Parks A.,Grabher J.,85,78,830,859,7,6,6,2,,,2,0,Completed,1.36,3.2,,,1.4,3.5,1.35,3.14,1.41,3.35
8,Ostrava,Ostrava Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Korpatsch T.,Siskova A.,124,255,600,274,6,4,6,4,,,2,0,Completed,1.57,2.38,,,1.67,2.65,1.6,2.3,1.7,2.38
8,Ostrava,Ostrava Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Ferro F.,Fruhvirtova B.,281,1311,240,7,6,1,6,1,,,2,0,Completed,1.17,5,,,1.19,5.5,1.17,4.93,1.22,5.3
8,Ostrava,Ostrava Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Bartunkova N.,Blinkova A.,108,75,712,868,6,4,6,4,,,2,0,Completed,1.53,2.5,,,1.55,2.63,1.51,2.48,1.59,2.68
8,Ostrava,Ostrava Open,02/02/2026,WTA250,Indoor,Hard,1st Round,3,Fruhvirtova L.,Barthel M.,121,215,618,333,7,6,6,4,,,2,0,Completed,1.62,2.3,,,1.67,2.6,1.57,2.36,1.58,2.7
8,Ostrava,Ostrava Open,03/02/2026,WTA250,Indoor,Hard,1st Round,3,Sramkova R.,Valdmannova V.,81,300,848,210,6,2,6,3,,,2,0,Completed,1.57,2.38,,,1.73,2.6,1.56,2.38,1.56,2.74
8,Ostrava,Ostrava Open,03/02/2026,WTA250,Indoor,Hard,1st Round,3,Boulter K.,Havlickova L.,120,276,624,244,6,4,3,6,6,1,2,1,Completed,1.67,2.2,,,1.67,2.3,1.62,2.25,1.75,2.3
8,Ostrava,Ostrava Open,03/02/2026,WTA250,Indoor,Hard,1st Round,3,Golubic V.,Kraus S.,89,104,810,727,6,4,6,0,,,2,0,Completed,1.36,3.2,,,1.38,3.5,1.35,3.07,1.39,3.5
8,Ostrava,Ostrava Open,03/02/2026,WTA250,Indoor,Hard,2nd Round,3,Volynets K.,Maria T.,96,54,783,1089,7,5,6,1,,,2,0,Completed,1.3,3.5,,,1.34,4,1.3,3.4,1.34,3.85
